                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2315,                 4.1378,                 1.4486,                0.37263,                  0.355,                0.28952,                0.11316,                  2.229,                 2.4405,                 1.4883,              6.668e-05,              6.668e-05,              6.668e-05
                      2,                 1.9376,                 1.7855,                 1.2504,                0.66019,                   0.44,                0.49728,                 0.1594,                 2.1116,                 2.2014,                 1.5182,             0.00014706,             0.00014706,             0.00014706
                      3,                 1.7185,                  1.222,                  1.126,                0.63156,                 0.6741,                0.60732,                0.25296,                 1.9346,                 2.2638,                 1.4767,             0.00022414,             0.00022414,             0.00022414
                      4,                  1.661,                 1.0761,                 1.1257,                0.66857,                  0.585,                0.62019,                0.28564,                 1.8129,                 2.1329,                 1.3838,             0.00029792,             0.00029792,             0.00029792
                      5,                 1.5486,                0.95433,                 1.0576,                0.69419,                  0.705,                0.59945,                0.23904,                 1.9013,                 1.9901,                 1.3636,             0.00036839,             0.00036839,             0.00036839
                      6,                 1.6181,                0.93323,                 1.0861,                0.66947,                0.74578,                0.58715,                0.22237,                 1.9829,                 2.1233,                 1.4134,             0.00043557,             0.00043557,             0.00043557
                      7,                 1.5033,                0.95419,                 1.0572,                0.78054,                0.73478,                0.65379,                0.22971,                 1.9643,                 1.7431,                 1.3981,             0.00049945,             0.00049945,             0.00049945
                      8,                 1.5644,                 0.9306,                 1.0465,                0.74531,                  0.755,                0.72676,                0.29789,                  1.874,                  2.061,                 1.3277,             0.00056002,             0.00056002,             0.00056002
                      9,                 1.4973,                0.82821,                 1.0436,                0.76528,                  0.775,                0.68741,                0.29314,                 1.7916,                 1.7326,                 1.3451,              0.0006173,              0.0006173,              0.0006173
                     10,                 1.4688,                0.81255,                 1.0333,                 0.7587,                    0.7,                0.64959,                0.25149,                 1.9531,                 1.9545,                 1.3419,             0.00067127,             0.00067127,             0.00067127
                     11,                 1.4434,                0.87541,                 1.0375,                0.79129,                  0.775,                0.69794,                0.29505,                 1.8688,                 1.7391,                 1.3334,             0.00072194,             0.00072194,             0.00072194
                     12,                 1.4311,                0.84264,                 1.0287,                 0.7098,                  0.725,                0.67486,                0.28066,                 1.8237,                 1.4734,                 1.3429,             0.00076932,             0.00076932,             0.00076932
                     13,                 1.4266,                0.80506,                 1.0312,                 0.7429,                   0.75,                0.66643,                0.28814,                  1.777,                  1.595,                 1.3851,             0.00081339,             0.00081339,             0.00081339
                     14,                 1.4185,                  0.854,                 1.0602,                0.71245,                 0.7461,                0.65566,                0.29987,                 1.7633,                 1.3824,                 1.3572,             0.00085416,             0.00085416,             0.00085416
                     15,                 1.3947,                0.79264,                 1.0484,                0.72709,                  0.775,                0.65504,                  0.294,                 1.7248,                 1.4448,                 1.3576,             0.00089163,             0.00089163,             0.00089163
                     16,                 1.4335,                0.84885,                 1.0482,                0.71576,                  0.755,                0.65586,                  0.281,                 1.7581,                 1.4625,                 1.4257,              0.0009258,              0.0009258,              0.0009258
                     17,                 1.4141,                0.80073,                 1.0271,                0.73171,                0.77022,                0.69814,                0.27784,                 1.7578,                 1.4155,                 1.3892,             0.00095667,             0.00095667,             0.00095667
                     18,                 1.4264,                0.83527,                 1.0677,                0.72588,                  0.795,                0.70524,                0.29034,                  1.747,                 1.3697,                 1.4113,             0.00098424,             0.00098424,             0.00098424
                     19,                 1.4037,                0.75535,                 1.0143,                0.76917,                  0.775,                0.67857,                0.31539,                 1.6962,                 1.2867,                 1.3628,              0.0010085,              0.0010085,              0.0010085
                     20,                 1.4016,                0.79291,                 1.0429,                0.76004,                0.77298,                0.68235,                0.30992,                 1.7119,                 1.2778,                 1.3446,              0.0010295,              0.0010295,              0.0010295
                     21,                 1.3941,                0.74517,                 1.0169,                0.78436,                  0.775,                0.71075,                0.32777,                 1.6993,                 1.3033,                 1.3572,              0.0010069,              0.0010069,              0.0010069
                     22,                 1.3567,                0.77253,                 1.0278,                0.76884,                0.77416,                 0.7203,                0.35394,                  1.635,                 1.2927,                  1.346,             0.00097386,             0.00097386,             0.00097386
                     23,                 1.3354,                0.74903,                  1.018,                 0.7708,                  0.775,                0.72306,                 0.3087,                  1.754,                 1.3288,                 1.4017,             0.00094085,             0.00094085,             0.00094085
                     24,                 1.3402,                0.78632,                 1.0364,                0.74438,                0.77091,                0.70791,                0.30278,                  1.711,                 1.3051,                 1.3697,             0.00090785,             0.00090785,             0.00090785
                     25,                 1.3969,                 0.7191,                 1.0132,                0.76049,                  0.755,                 0.6955,                0.29441,                 1.7334,                 1.3611,                 1.3894,             0.00087484,             0.00087484,             0.00087484
                     26,                 1.3448,                 0.8006,                 1.0457,                0.77039,                  0.755,                0.70934,                0.28125,                 1.7872,                 1.2705,                 1.4112,             0.00084184,             0.00084184,             0.00084184
                     27,                 1.3313,                 0.7538,                 1.0214,                0.76934,                  0.755,                0.69883,                0.29406,                  1.767,                 1.2064,                 1.4011,             0.00080883,             0.00080883,             0.00080883
                     28,                 1.3264,                0.69499,                0.99688,                0.77573,                  0.755,                0.67869,                0.32302,                 1.6291,                 1.3095,                 1.3319,             0.00077582,             0.00077582,             0.00077582
                     29,                 1.2779,                0.69645,                0.98275,                 0.7699,                  0.755,                0.65876,                0.30358,                 1.6623,                 1.5083,                 1.4068,             0.00074282,             0.00074282,             0.00074282
                     30,                 1.2924,                0.68843,                0.99381,                0.76432,                  0.755,                0.66498,                0.28642,                 1.7191,                 1.4918,                 1.4221,             0.00070981,             0.00070981,             0.00070981
                     31,                 1.2589,                0.66191,                0.98436,                 0.7674,                  0.755,                0.64447,                0.28982,                 1.7058,                 1.5237,                 1.3943,              0.0006768,              0.0006768,              0.0006768
                     32,                 1.2686,                  0.671,                0.97532,                0.75362,                  0.755,                0.62054,                0.30263,                 1.7316,                 1.5525,                 1.3898,              0.0006438,              0.0006438,              0.0006438
                     33,                 1.2758,                0.67439,                0.98346,                 0.7466,                  0.755,                0.62295,                0.29435,                 1.7744,                 1.5143,                 1.4141,             0.00061079,             0.00061079,             0.00061079
                     34,                 1.2485,                0.64398,                 0.9708,                0.73736,                  0.775,                0.63055,                 0.3069,                 1.7369,                 1.4679,                 1.3846,             0.00057778,             0.00057778,             0.00057778
                     35,                 1.2372,                0.61946,                0.97654,                0.76139,                  0.755,                0.62481,                0.30964,                 1.6879,                 1.4637,                 1.3477,             0.00054478,             0.00054478,             0.00054478
                     36,                 1.2143,                0.70022,                0.98626,                0.78365,                  0.775,                0.64181,                0.30197,                 1.6662,                 1.4614,                 1.2888,             0.00051177,             0.00051177,             0.00051177
                     37,                  1.207,                 0.6514,                0.98356,                0.78075,                  0.755,                0.67307,                0.32587,                 1.6338,                 1.3516,                 1.2684,             0.00047876,             0.00047876,             0.00047876
                     38,                 1.2125,                0.68559,                0.97514,                0.78168,                  0.755,                0.70042,                0.35167,                 1.6036,                 1.2005,                 1.2555,             0.00044576,             0.00044576,             0.00044576
                     39,                 1.1981,                0.64004,                0.97275,                 0.7806,                  0.755,                0.70277,                0.36411,                 1.5836,                 1.2218,                 1.2565,             0.00041275,             0.00041275,             0.00041275
                     40,                 1.1751,                0.62794,                0.97909,                0.78687,                  0.775,                0.67036,                0.34151,                 1.5825,                 1.2756,                 1.2147,             0.00037974,             0.00037974,             0.00037974
                     41,                 1.1775,                0.64846,                0.96363,                0.78677,                  0.775,                0.67489,                0.33043,                 1.6159,                 1.2889,                 1.2348,             0.00034674,             0.00034674,             0.00034674
                     42,                 1.1734,                0.60915,                0.97263,                0.78615,                0.77406,                0.67814,                 0.3353,                 1.6061,                 1.2361,                 1.2293,             0.00031373,             0.00031373,             0.00031373
                     43,                 1.1688,                0.61661,                0.97852,                0.77842,                  0.755,                0.67501,                0.33778,                 1.6434,                 1.2691,                 1.2565,             0.00028072,             0.00028072,             0.00028072
                     44,                  1.203,                0.62986,                0.97325,                0.75804,                  0.755,                0.66729,                0.30198,                 1.6719,                 1.3697,                 1.2605,             0.00024772,             0.00024772,             0.00024772
                     45,                 1.1627,                 0.6332,                0.96396,                0.74666,                  0.775,                0.66139,                0.29537,                   1.65,                 1.4082,                 1.2472,             0.00021471,             0.00021471,             0.00021471
                     46,                  1.129,                0.58697,                0.94935,                0.74997,                  0.775,                0.66927,                0.29949,                 1.6421,                 1.4406,                 1.2537,              0.0001817,              0.0001817,              0.0001817
